date,year,quarter,hosr,FEDFUNDS,MSPUS,GDPC1,PAYEMS,CPIAUCSL,UNRATE,UMCSENT,DSPIC96,PERMIT,ICSA,SP500
1980-01-01,1980,Q1,65.5,15.046666666666667,63700.0,6842.024,90892.33333333333,79.03333333333333,6.3,63.46666666666667,4902.533333333333,1155.6666666666667,422923.07692307694,110.22682565079364
1980-04-01,1980,Q2,65.6,12.686666666666667,64000.0,6701.046,90456.66666666667,81.7,7.333333333333333,54.366666666666674,4859.533333333334,929.0,586615.3846153846,108.40253982539683
1980-07-01,1980,Q3,65.6,9.836666666666666,64900.0,6693.082,90050.66666666667,83.23333333333333,7.666666666666667,67.76666666666667,4914.033333333333,1370.0,523769.23076923075,123.226561875
1980-10-01,1980,Q4,65.6,15.853333333333333,66400.0,6817.903,90726.66666666667,85.56666666666666,7.3999999999999995,72.06666666666666,4981.733333333334,1332.6666666666667,419615.3846153846,132.9128565079365
1981-01-01,1981,Q1,65.6,16.569999999999997,66800.0,6951.495,91116.0,87.93333333333334,7.433333333333334,68.26666666666667,4974.8,1201.0,416153.8461538461,131.6429033387097
1981-04-01,1981,Q2,65.4,17.78,69400.0,6899.98,91356.33333333333,89.76666666666667,7.3999999999999995,73.93333333333334,4980.599999999999,1113.0,419615.3846153846,132.81952434920635
1981-07-01,1981,Q3,65.4,17.576666666666664,69200.0,6982.609,91547.66666666667,92.26666666666667,7.3999999999999995,74.8,5087.966666666666,890.3333333333334,451307.6923076923,125.7295309375
1981-10-01,1981,Q4,65.3,13.586666666666666,70400.0,6906.529,91148.66666666667,93.76666666666667,8.233333333333334,65.7,5093.633333333333,758.3333333333334,516538.46153846156,122.147031015625
1982-01-01,1982,Q1,64.8,14.226666666666667,66400.0,6799.233,90520.66666666667,94.60000000000001,8.833333333333334,66.5,5105.900000000001,831.0,541307.6923076923,114.03725812903225
1982-04-01,1982,Q2,65.0,14.513333333333334,69600.0,6830.251,90040.66666666667,95.96666666666665,9.433333333333334,66.23333333333333,5136.766666666666,918.0,589615.3846153846,114.01365073015873
1982-07-01,1982,Q3,64.7,11.006666666666666,69300.0,6804.139,89355.66666666667,97.63333333333333,9.9,66.7,5161.366666666666,1004.0,618538.4615384615,113.755312546875
1982-10-01,1982,Q4,64.7,9.286666666666667,71600.0,6806.857,88821.33333333333,97.93333333333334,10.666666666666666,72.46666666666667,5177.533333333334,1243.0,594923.0769230769,136.750626234375
1983-01-01,1983,Q1,64.7,8.653333333333334,73300.0,6896.561,88999.0,98.0,10.366666666666667,75.26666666666667,5226.433333333333,1457.3333333333333,490846.1538461539,147.80809433333334
1983-04-01,1983,Q2,64.7,8.803333333333335,74900.0,7053.5,89676.33333333333,99.13333333333333,10.133333333333333,91.53333333333335,5262.7,1668.0,471461.53846153844,162.86349246031745
1983-07-01,1983,Q3,64.6,9.459999999999999,77400.0,7194.504,90604.33333333333,100.10000000000001,9.366666666666667,91.2,5341.566666666667,1697.6666666666667,416769.23076923075,165.390624296875
1983-10-01,1983,Q4,64.6,9.43,75900.0,7344.597,91875.0,101.10000000000001,8.533333333333333,91.53333333333335,5460.533333333333,1670.3333333333333,387500.0,165.75222152380954
1984-01-01,1984,Q1,64.6,9.686666666666667,78200.0,7488.167,93086.33333333333,102.53333333333335,7.866666666666667,99.5,5569.466666666667,1842.6666666666667,345384.6153846154,160.36365153968254
1984-04-01,1984,Q2,64.6,10.556666666666667,80700.0,7617.547,94123.0,103.5,7.433333333333334,96.56666666666666,5662.166666666667,1777.0,363461.53846153844,155.7423802857143
1984-07-01,1984,Q3,64.5,11.39,81000.0,7690.985,95055.0,104.39999999999999,7.433333333333334,98.86666666666667,5736.866666666666,1552.6666666666667,382846.1538461539,160.48349166666665
1984-10-01,1984,Q4,64.3,9.266666666666667,79900.0,7754.117,95906.0,105.3,7.3,94.96666666666665,5783.733333333334,1586.3333333333333,402538.46153846156,165.189687515625
1985-01-01,1985,Q1,64.1,8.476666666666667,82800.0,7829.26,96572.33333333333,106.26666666666667,7.233333333333333,94.46666666666665,5768.766666666666,1683.0,381076.92307692306,177.09854796774195
1985-04-01,1985,Q2,64.1,7.923333333333333,84300.0,7898.194,97269.66666666667,107.23333333333333,7.3,94.3,5881.033333333333,1696.3333333333333,394307.6923076923,184.73793546031746
1985-07-01,1985,Q3,63.8,7.8999999999999995,83200.0,8018.809,97844.33333333333,107.89999999999999,7.2,92.83333333333333,5862.666666666667,1807.0,397615.3846153846,188.5496826825397
1985-10-01,1985,Q4,63.6,8.103333333333333,86800.0,8078.415,98428.33333333333,109.0,7.033333333333334,91.06666666666668,5924.633333333334,1743.0,394692.3076923077,196.61671878125
1986-01-01,1986,Q1,63.7,7.826666666666667,88000.0,8153.829,98837.66666666667,109.56666666666666,7.033333333333334,95.53333333333335,6002.533333333333,1798.0,373153.8461538461,219.5860647704918
1986-04-01,1986,Q2,63.8,6.919999999999999,92100.0,8190.552,99174.66666666667,109.03333333333335,7.166666666666667,96.76666666666667,6079.3,1815.0,381153.8461538461,240.53343796875
1986-07-01,1986,Q3,63.7,6.206666666666666,93000.0,8268.935,99665.0,109.7,6.966666666666666,94.83333333333333,6118.133333333334,1730.6666666666667,389769.23076923075,241.134842875
1986-10-01,1986,Q4,63.9,6.266666666666667,95000.0,8313.338,100312.66666666667,110.46666666666665,6.833333333333333,92.03333333333335,6127.400000000001,1740.6666666666667,367846.1538461539,243.51984409375
1987-01-01,1987,Q1,63.9,6.22,97900.0,8375.274,100920.33333333333,111.8,6.599999999999999,90.46666666666665,6183.866666666666,1694.3333333333333,342769.23076923075,279.46532417741935
1987-04-01,1987,Q2,63.9,6.6499999999999995,103400.0,8465.63,101709.0,113.06666666666666,6.266666666666667,91.8,6125.7,1541.0,329923.07692307694,293.4685706984127
1987-07-01,1987,Q3,64.1,6.843333333333334,106000.0,8539.075,102438.0,114.26666666666667,6.0,93.89999999999999,6235.533333333333,1513.6666666666667,318769.23076923075,319.223748703125
1987-10-01,1987,Q4,64.1,6.916666666666667,111500.0,8685.694,103390.33333333333,115.33333333333333,5.833333333333333,86.39999999999999,6319.599999999999,1416.3333333333333,307846.1538461539,255.700156921875
1988-01-01,1988,Q1,63.8,6.663333333333334,110000.0,8730.569,104152.0,116.23333333333333,5.7,92.33333333333333,6412.333333333333,1402.3333333333333,321153.8461538461,258.4769851269841
1988-04-01,1988,Q2,63.8,7.156666666666666,110000.0,8845.28,105006.66666666667,117.56666666666666,5.466666666666666,93.56666666666666,6478.366666666666,1452.6666666666667,311461.53846153844,263.2687305714286
1988-07-01,1988,Q3,63.8,7.983333333333333,115000.0,8897.107,105745.66666666667,119.0,5.466666666666666,96.03333333333335,6540.933333333333,1445.0,314230.76923076925,266.7823425
1988-10-01,1988,Q4,63.8,8.47,113900.0,9015.661,106597.0,120.3,5.333333333333333,93.0,6602.7,1508.3333333333333,291785.71428571426,274.97825409523807
